model,params,flops,input,acc_metrics,inference_qps,category,series,extra
BeitBasePatch16,86.53,17.61,224,85.24,321.226,Recognition,BEiT,21k_ft1k
BeitBasePatch16,86.74,55.7,384,86.808,164.705,Recognition,BEiT,21k_ft1k
BeitLargePatch16,304.43,61.68,224,87.476,105.998,Recognition,BEiT,21k_ft1k
BeitLargePatch16,305.0,191.65,384,88.382,45.7307,Recognition,BEiT,21k_ft1k
BeitLargePatch16,305.67,363.46,512,88.584,21.3097,Recognition,BEiT,21k_ft1k
BeitV2BasePatch16,86.53,17.61,224,85.5,322.52,Recognition,BEiTV2,
BeitV2BasePatch16,86.53,17.61,224,86.5,322.52,Recognition,BEiTV2,21k_ft1k
BeitV2LargePatch16,304.43,61.68,224,87.3,105.734,Recognition,BEiTV2,
BeitV2LargePatch16,304.43,61.68,224,88.4,105.734,Recognition,BEiTV2,21k_ft1k
BotNet50,21.0,5.42,224,,746.454,Recognition,BotNet,
BotNet101,41.0,9.13,224,,448.102,Recognition,BotNet,
BotNet152,56.0,12.84,224,,316.671,Recognition,BotNet,
BotNet26T,12.5,3.3,256,79.246,1188.84,Recognition,BotNet,
BotNextECA26T,10.59,2.45,256,79.27,1038.19,Recognition,BotNet,
BotNetSE33T,13.7,3.89,256,81.2,610.429,Recognition,BotNet,
CAFormerS18,26.0,4.1,224,83.6,399.127,Recognition,CAFormer,
CAFormerS18,26.0,13.4,384,85.0,181.993,Recognition,CAFormer,
CAFormerS18,26.0,4.1,224,84.1,399.127,Recognition,CAFormer,21k_ft1k
CAFormerS18,26.0,13.4,384,85.4,181.993,Recognition,CAFormer,21k_ft1k
CAFormerS36,39.0,8.0,224,84.5,204.328,Recognition,CAFormer,
CAFormerS36,39.0,26.0,384,85.7,102.04,Recognition,CAFormer,
CAFormerS36,39.0,8.0,224,85.8,204.328,Recognition,CAFormer,21k_ft1k
CAFormerS36,39.0,26.0,384,86.9,102.04,Recognition,CAFormer,21k_ft1k
CAFormerM36,56.0,13.2,224,85.2,162.257,Recognition,CAFormer,
CAFormerM36,56.0,42.0,384,86.2,65.6188,Recognition,CAFormer,
CAFormerM36,56.0,13.2,224,86.6,162.257,Recognition,CAFormer,21k_ft1k
CAFormerM36,56.0,42.0,384,87.5,65.6188,Recognition,CAFormer,21k_ft1k
CAFormerB36,99.0,23.2,224,85.5,116.865,Recognition,CAFormer,
CAFormerB36,99.0,72.2,384,86.4,50.0244,Recognition,CAFormer,
CAFormerB36,99.0,23.2,224,87.4,116.865,Recognition,CAFormer,21k_ft1k
CAFormerB36,99.0,72.2,384,88.1,50.0244,Recognition,CAFormer,21k_ft1k
ConvFormerS18,27.0,3.9,224,83.0,295.114,Recognition,ConvFormer,
ConvFormerS18,27.0,11.6,384,84.4,145.923,Recognition,ConvFormer,
ConvFormerS18,27.0,3.9,224,83.7,295.114,Recognition,ConvFormer,21k_ft1k
ConvFormerS18,27.0,11.6,384,85.0,145.923,Recognition,ConvFormer,21k_ft1k
ConvFormerS36,40.0,7.6,224,84.1,161.609,Recognition,ConvFormer,
ConvFormerS36,40.0,22.4,384,85.4,80.2101,Recognition,ConvFormer,
ConvFormerS36,40.0,7.6,224,85.4,161.609,Recognition,ConvFormer,21k_ft1k
ConvFormerS36,40.0,22.4,384,86.4,80.2101,Recognition,ConvFormer,21k_ft1k
ConvFormerM36,57.0,12.8,224,84.5,130.161,Recognition,ConvFormer,
ConvFormerM36,57.0,37.7,384,85.6,63.9712,Recognition,ConvFormer,
ConvFormerM36,57.0,12.8,224,86.1,130.161,Recognition,ConvFormer,21k_ft1k
ConvFormerM36,57.0,37.7,384,86.9,63.9712,Recognition,ConvFormer,21k_ft1k
ConvFormerB36,100.0,22.6,224,84.8,98.0751,Recognition,ConvFormer,
ConvFormerB36,100.0,66.5,384,85.7,48.5897,Recognition,ConvFormer,
ConvFormerB36,100.0,22.6,224,87.0,98.0751,Recognition,ConvFormer,21k_ft1k
ConvFormerB36,100.0,66.5,384,87.6,48.5897,Recognition,ConvFormer,21k_ft1k
CMTTiny,9.5,0.65,160,77.4,315.566,Recognition,CMT,
CMTTiny,9.5,0.65,160,78.94,315.566,Recognition,CMT,
CMTTiny,9.5,1.32,224,80.73,254.87,Recognition,CMT,
CMTTiny_torch,9.5,0.65,160,79.2,338.207,Recognition,CMT,
CMTXS_torch,15.2,1.58,192,81.8,241.288,Recognition,CMT,
